timestamp,pod,cpu_m,mem_mi
1788204366,s1-7d66c7d4c5-97jlk,107,143
1788204366,s2-5f46b67bc6-pswkd,160,124
1788204366,s3-79b96b87f7-8n5lq,59,137
1788204371,gw-nginx-554c75559c-97p9m,8,8
1788204371,s0-7858bb7b56-4c22f,130,143
1788204371,s1-7d66c7d4c5-97jlk,107,143
1788204371,s2-5f46b67bc6-pswkd,160,124
1788204371,s3-79b96b87f7-8n5lq,59,137
1788204376,gw-nginx-554c75559c-97p9m,8,8
1788204376,s0-7858bb7b56-4c22f,130,143
1788204376,s1-7d66c7d4c5-97jlk,107,143
1788204376,s2-5f46b67bc6-pswkd,160,124
1788204376,s3-79b96b87f7-8n5lq,59,137
1788204381,gw-nginx-554c75559c-97p9m,8,7
1788204381,s0-7858bb7b56-4c22f,130,143
1788204381,s1-7d66c7d4c5-97jlk,108,142
1788204381,s2-5f46b67bc6-pswkd,173,124
1788204381,s3-79b96b87f7-8n5lq,57,137
1788204386,gw-nginx-554c75559c-97p9m,8,7
1788204386,s0-7858bb7b56-4c22f,130,143
1788204386,s1-7d66c7d4c5-97jlk,108,142
1788204386,s2-5f46b67bc6-pswkd,173,124
1788204386,s3-79b96b87f7-8n5lq,57,137
1788204391,gw-nginx-554c75559c-97p9m,8,7
1788204391,s0-7858bb7b56-4c22f,130,143
1788204391,s1-7d66c7d4c5-97jlk,108,142
1788204391,s2-5f46b67bc6-pswkd,173,124
1788204391,s3-79b96b87f7-8n5lq,57,137
1788204397,gw-nginx-554c75559c-97p9m,9,8
1788204397,s0-7858bb7b56-4c22f,135,143
1788204397,s1-7d66c7d4c5-97jlk,110,142
1788204397,s2-5f46b67bc6-pswkd,162,124
1788204397,s3-79b96b87f7-8n5lq,62,137
1788204402,gw-nginx-554c75559c-97p9m,9,8
1788204402,s0-7858bb7b56-4c22f,135,143
1788204402,s1-7d66c7d4c5-97jlk,110,142
1788204402,s2-5f46b67bc6-pswkd,162,124
1788204402,s3-79b96b87f7-8n5lq,62,137
1788204407,gw-nginx-554c75559c-97p9m,9,8
1788204407,s0-7858bb7b56-4c22f,135,143
1788204407,s1-7d66c7d4c5-97jlk,110,142
